Theta            Phi               dBi                 abs_theta              phase_theta      abs_phi                phase_phi         ax_ratio
 -20.000         -80.000            5.253e+00          -1.166e+01              93.820           5.163e+00              99.733           3.674e+01     
 -15.000         -80.000            5.532e+00          -1.085e+01              91.684           5.431e+00              95.961           3.903e+01     
 -10.000         -80.000            5.731e+00          -1.019e+01              89.139           5.619e+00              91.908           4.000e+01     
  -5.000         -80.000            5.850e+00          -9.689e+00              86.274           5.727e+00              87.604           4.000e+01     
   0.000         -80.000            5.889e+00          -9.330e+00              83.169           5.757e+00              83.082           4.000e+01     
   5.000         -80.000            5.849e+00          -9.106e+00              79.892           5.708e+00              78.380           4.000e+01     
  10.000         -80.000            5.732e+00          -9.012e+00              76.507           5.584e+00              73.536           4.000e+01     
  15.000         -80.000            5.538e+00          -9.040e+00              73.075           5.384e+00              68.590           3.687e+01     
  20.000         -80.000            5.269e+00          -9.183e+00              69.652           5.111e+00              63.584           3.413e+01     
  25.000         -80.000            4.928e+00          -9.434e+00              66.292           4.766e+00              58.558           3.194e+01     
  30.000         -80.000            4.516e+00          -9.783e+00              63.043           4.352e+00              53.549           3.011e+01     
  35.000         -80.000            4.036e+00          -1.022e+01              59.951           3.870e+00              48.595           2.853e+01     
  40.000         -80.000            3.488e+00          -1.074e+01              57.058           3.321e+00              43.726           2.713e+01     
  45.000         -80.000            2.877e+00          -1.133e+01              54.400           2.709e+00              38.972           2.585e+01     
  50.000         -80.000            2.202e+00          -1.197e+01              52.008           2.033e+00              34.355           2.468e+01     
  55.000         -80.000            1.468e+00          -1.266e+01              49.906           1.296e+00              29.896           2.357e+01     
  60.000         -80.000            6.746e-01          -1.337e+01              48.109           4.998e-01              25.611           2.251e+01     
  65.000         -80.000           -1.757e-01          -1.408e+01              46.621          -3.561e-01              21.509           2.147e+01     
  70.000         -80.000           -1.083e+00          -1.479e+01              45.430          -1.272e+00              17.595           2.043e+01     
  75.000         -80.000           -2.049e+00          -1.546e+01              44.511          -2.252e+00              13.865           1.937e+01     
  80.000         -80.000           -3.080e+00          -1.610e+01              43.820          -3.302e+00              10.305           1.827e+01     
  85.000         -80.000           -4.183e+00          -1.668e+01              43.300          -4.435e+00               6.884           1.711e+01     
  90.000         -80.000           -5.374e+00          -1.719e+01              42.880          -5.670e+00               3.541           1.585e+01     
  95.000         -80.000           -6.678e+00          -1.763e+01              42.487          -7.041e+00               0.161           1.445e+01     
 100.000         -80.000           -8.126e+00          -1.801e+01              42.053          -8.597e+00             356.532           1.285e+01     
 105.000         -80.000           -9.763e+00          -1.831e+01              41.524          -1.042e+01             352.235           1.094e+01     
 110.000         -80.000           -1.163e+01          -1.855e+01              40.867          -1.262e+01             346.372           8.558e+00     
 115.000         -80.000           -1.372e+01          -1.872e+01              40.077          -1.537e+01             336.769           5.454e+00     
 120.000         -80.000           -1.574e+01          -1.884e+01              39.189          -1.866e+01             317.673           1.303e+00     
 125.000         -80.000           -1.670e+01          -1.889e+01              38.243          -2.072e+01             280.149           4.833e+00     
 130.000         -80.000           -1.574e+01          -1.890e+01              37.328          -1.861e+01             242.991           1.286e+01     
 135.000         -80.000           -1.370e+01          -1.886e+01              36.542          -1.528e+01             224.990           2.336e+01     
 140.000         -80.000           -1.161e+01          -1.879e+01              35.981          -1.254e+01             217.198           4.000e+01     
 145.000         -80.000           -9.795e+00          -1.870e+01              35.725          -1.039e+01             213.834           3.913e+01     
 150.000         -80.000           -8.282e+00          -1.861e+01              35.825          -8.704e+00             212.690           3.599e+01     
 155.000         -80.000           -7.046e+00          -1.855e+01              36.296          -7.365e+00             212.828           3.619e+01     
 160.000         -80.000           -6.056e+00          -1.854e+01              37.117          -6.309e+00             213.789           3.745e+01     
 165.000         -80.000           -5.288e+00          -1.859e+01              38.237          -5.496e+00             215.317           3.937e+01     
 170.000         -80.000           -4.728e+00          -1.874e+01              39.579          -4.904e+00             217.256           4.000e+01     
 175.000         -80.000           -4.366e+00          -1.902e+01              41.042          -4.517e+00             219.505           4.000e+01     
-180.000         -75.000           -4.197e+00          -1.596e+01              42.335          -4.497e+00             221.984           4.000e+01     
-175.000         -75.000           -4.206e+00          -1.633e+01              45.350          -4.481e+00             225.903           4.000e+01     
-170.000         -75.000           -4.444e+00          -1.692e+01              48.150          -4.697e+00             229.905           4.000e+01     
-165.000         -75.000           -4.921e+00          -1.776e+01              50.599          -5.153e+00             233.952           3.773e+01     
-160.000         -75.000           -5.648e+00          -1.889e+01              52.500          -5.859e+00             237.987           3.384e+01     
-155.000         -75.000           -6.646e+00          -2.035e+01              53.533          -6.835e+00             241.913           3.062e+01     
-150.000         -75.000           -7.952e+00          -2.217e+01              53.130          -8.120e+00             245.561           2.772e+01     
-145.000         -75.000           -9.629e+00          -2.438e+01              50.241          -9.777e+00             248.618           2.490e+01     
-140.000         -75.000           -1.179e+01          -2.690e+01              42.959          -1.192e+01             250.439           2.191e+01     
-135.000         -75.000           -1.463e+01          -2.932e+01              28.745          -1.478e+01             249.455           1.842e+01     
-130.000         -75.000           -1.843e+01          -3.062e+01               8.306          -1.870e+01             240.819           1.414e+01     
-125.000         -75.000           -2.226e+01          -3.035e+01             350.066          -2.300e+01             208.021           1.257e+01     
-120.000         -75.000           -2.062e+01          -2.940e+01             339.736          -2.123e+01             158.730           4.000e+01     
-115.000         -75.000           -1.659e+01          -2.860e+01             335.935          -1.687e+01             140.293           2.364e+01     
-110.000         -75.000           -1.344e+01          -2.817e+01             336.341          -1.358e+01             135.518           2.383e+01     
-105.000         -75.000           -1.103e+01          -2.818e+01             339.726          -1.111e+01             134.923           2.475e+01     
-100.000         -75.000           -9.093e+00          -2.863e+01             345.880          -9.142e+00             135.789           2.555e+01     
 -95.000         -75.000           -7.461e+00          -2.952e+01             355.646          -7.488e+00             137.113           2.618e+01     
 -90.000         -75.000           -6.032e+00          -3.076e+01              11.416          -6.046e+00             138.439           2.668e+01     
 -85.000         -75.000           -4.746e+00          -3.164e+01              36.697          -4.755e+00             139.525           2.710e+01     
 -80.000         -75.000           -3.566e+00          -3.066e+01              68.157          -3.575e+00             140.231           2.752e+01     
 -75.000         -75.000           -2.469e+00          -2.783e+01              92.661          -2.482e+00             140.475           2.796e+01     
 -70.000         -75.000           -1.441e+00          -2.463e+01             107.093          -1.462e+00             140.206           2.845e+01     
 -65.000         -75.000           -4.757e-01          -2.172e+01             115.152          -5.084e-01             139.397           2.900e+01     
 -60.000         -75.000            4.308e-01          -1.918e+01             119.523           3.831e-01             138.035           2.962e+01     
 -55.000         -75.000            1.278e+00          -1.697e+01             121.566           1.212e+00             136.120           3.030e+01     
 -50.000         -75.000            2.063e+00          -1.503e+01             121.981           1.978e+00             133.659           3.105e+01     
